Time_s,Vel_X_mms
0.10600000000000008,-860.3681828486201
0.10700000000000008,-859.6285227902083
0.10800000000000008,-858.8959873411427
0.10900000000000008,-858.1705027833373
0.11000000000000008,-857.4519890149666
0.11100000000000008,-856.7403602100172
0.11200000000000009,-856.0355254269069
0.11300000000000009,-855.3373891699708
0.11400000000000009,-854.6458519073054
0.11500000000000009,-853.9608105482012
0.11600000000000009,-853.2821588831403
0.11700000000000009,-852.6097879891686
0.11800000000000009,-851.9435866031882
0.11900000000000009,-851.2834414655342
0.12000000000000009,-850.6292376360748
0.1210000000000001,-849.9808587848371
0.1220000000000001,-849.3381874590731
0.1230000000000001,-848.701105328505
0.1240000000000001,-848.0694934103686
0.12500000000000008,-847.4432322757663
0.12600000000000008,-846.8222022386935
0.12700000000000009,-846.2062835290845
0.12800000000000009,-845.5953564509957
0.1290000000000001,-844.9893015270954
0.1300000000000001,-844.3879996304559
0.1310000000000001,-843.7913321045935
0.1320000000000001,-843.1991808726634
0.1330000000000001,-842.6114285365858
0.1340000000000001,-842.0279584669062
0.1350000000000001,-841.4486548840414
0.1360000000000001,-840.8734029315968
0.1370000000000001,-840.3020887423517
0.1380000000000001,-839.7345994974323
0.1390000000000001,-839.1708234792601
0.1400000000000001,-838.6106501186822
0.1410000000000001,-838.0539700367718
0.1420000000000001,-837.5006750817075
0.1430000000000001,-836.9506583610746
0.1440000000000001,-836.4038142700084
0.1450000000000001,-835.8600385154384
0.1460000000000001,-835.3192281367847
0.1470000000000001,-834.7812815233698
0.1480000000000001,-834.2460984287985
0.1490000000000001,-833.7135799825734
0.1500000000000001,-833.1836286991398
0.1510000000000001,-832.6561484845954
0.1520000000000001,-832.131044641232
0.1530000000000001,-831.6082238701033
0.1540000000000001,-831.0875942717892
0.1550000000000001,-830.5690653454889
0.1560000000000001,-830.0525479865971
0.1570000000000001,-829.5379544829049
0.1580000000000001,-829.0251985095252
